table;cols;origin;Description
PERSONS;person_id;CDM_PERSONS.person_id;unique person identifier.
PERSONS;day_of_birth;CDM_PERSONS.day_of_birth;If empty while year filled THEN inpute. If month missing impute 1 else impute 16
PERSONS;month_of_birth;CDM_PERSONS.month_of_birth;If empty while year filled THEN inpute 6
PERSONS;year_of_birth;CDM_PERSONS.year_of_birth;
PERSONS;day_of_death;CDM_PERSONS.day_of_death;If empty while year filled THEN inpute. If month missing impute 1 else impute 16
PERSONS;month_of_death;CDM_PERSONS.month_of_death;If empty while year filled THEN inpute 6
PERSONS;year_of_death;CDM_PERSONS.year_of_death;
PERSONS;sex_at_instance_creation;CDM_PERSONS.sex_at_instance_creation;
PERSONS;birth_date;Step_01_CreatePersons;Create date from day, month and year
PERSONS;death_date;Step_01_CreatePersons;Create date from day, month and year
PERSONS;YEAR_BIRTH;CDM_PERSONS.year_of_death;Get year from birth. If invalid date combination it is filled with NA and subject is excluded in Step_04b_CreateStudyPopulation
INPUTED;person_id;CDM_PERSONS.person_id;unique person identifier
INPUTED;inputed_birth_day;Step_01_CreatePersons;If cell inputed TRUE
INPUTED;inputed_birth_month;Step_01_CreatePersons;If cell inputed TRUE
INPUTED;inputed_death_day;Step_01_CreatePersons;If cell inputed TRUE
INPUTED;inputed_death_month;Step_01_CreatePersons;If cell inputed TRUE
OBS_SPELLS;person_id;CDM_OBSERVATION_PERIODS.person_id; Only persons imported that have a op_start_date as not empty
OBS_SPELLS;num_spell;CreateSpells;Generated by function CreateSpells
OBS_SPELLS;op_start_date;CDM_OBSERVATION_PERIODS.op_start_date;(1) Changed op_start_date after merge by function CreateSpells with 365 days allowed gap (2) op_start_date < birth_date, op_start_date := birth_date. (3) 
OBS_SPELLS;op_end_date;CDM_OBSERVATION_PERIODS.op_end_date;(1) Changed op_end_date after merge by function CreateSpells with 365 days allowed gap. (2) op_end_date > death_date, op_end_date := death_date. (3) op_end_date := min(end_study_date,op_end_date,date_creation,recommended_end_date)
OBS_SPELLS;birth_date;PERSONS.birth_date;PERSONS.birth_date
OBS_SPELLS;death_date;PERSONS.death_date;PERSONS.death_date
CoV;person_id;CDM_VACCINES.person_id;Only the rows are imported that are in the table PERSONS.rds. These subjects are stored in the variable PERSONS_OF_INTEREST0
CoV;vx_atc;CDM_VACCINES.vx.atc;Only rows with an ATC code that refers to covid vaccination according to the input file VAC4EU PASS CovidVaccineMonitoringVariables-3 are selected using the function CreateConceptDatasets
CoV;vx_manufacturer;CDM_VACCINES.vx_manufacturer;
CoV;Date;CDM_VACCINES.vx_admin_date, CDM_VACCINES.vx.record_date;fifelse(is.na(vx_admin_date),vx_record_date,vx_admin_date) MEANING that if vx_admin_date is not filled the vx_record_date is used
CoV;voc;Step_03_GetVaccins;Variable created becuase the used function CreateConceptDatasets needs a category column
CoV;vx_atc_2;CoV.vx.atc;dot removed 
CoV;code3;VAC4EU PASS CovidVaccineMonitoringVariables-3.3-lettercode;
INF;person_id;CDM_VACCINES.person_id;Only the rows are imported that are in the table PERSONS.rds. These subjects are stored in the variable PERSONS_OF_INTEREST0
INF;vx_atc;CDM_VACCINES.vx.atc;Only rows with an ATC code that refers to covid vaccination according to the input file VAC4EU PASS CovidVaccineMonitoringVariables-3 are selected using the function CreateConceptDatasets
INF;vx_manufacturer;CDM_VACCINES.vx_manufacturer;
INF;Date;CDM_VACCINES.start_date_record;
INF;voc;Step_03_GetVaccins;fifelse(is.na(vx_admin_date),vx_record_date,vx_admin_date) MEANING that if vx_admin_date is not filled the vx_record_date is used
INF;vx_atc_2;CoV.vx.atc;
INF;code3;VAC4EU PASS CovidVaccineMonitoringVariables-3.3-lettercode;
CoV2;person_id;CoV.person_id;Cases selected after applience of function CleanOutcomes with an allowed gap of 14 days
CoV2;Date;CoV.Date;
CoV2;vx_manufacturer;CoV.vx_manufacturer;
CoV2;NB;Step_04_CreateVariablesCovidVaccins;Sequence number by person_id on vaccination date
PERSONS1;person_id;PERSONS.person_id;
PERSONS1;death_date;PERSONS.death_date;
PERSONS1;YEAR_BIRTH;PERSONS.YEAR_BIRTH;
PERSONS1;FIRST_OTHER;CoV.Date, CoV.vx_manufacturer;"(1) Clean covid vaccins with function CleanOutcomes with an allowed gap of 14 days. (2) Add a sequence number by person_id ordered by Date. (3) Remove instance 4 and higher. (4) Determine manuvactuer using fifelse(like(vx_manufacturer, ""pfizer"", ignore.case = T ),""PFIZER"",""OTHER""). (5) Concatenate instance and manufactuer. (6) Transpose with the concatenated result as new column names"
PERSONS1;FIRST_PFIZER;CoV.Date, CoV.vx_manufacturer;"(1) Clean covid vaccins with function CleanOutcomes with an allowed gap of 14 days. (2) Add a sequence number by person_id ordered by Date. (3) Remove instance 4 and higher. (4) Determine manuvactuer using fifelse(like(vx_manufacturer, ""pfizer"", ignore.case = T ),""PFIZER"",""OTHER""). (5) Concatenate instance and manufactuer. (6) Transpose with the concatenated result as new column names"
PERSONS1;SECOND_OTHER;CoV.Date, CoV.vx_manufacturer;"(1) Clean covid vaccins with function CleanOutcomes with an allowed gap of 14 days. (2) Add a sequence number by person_id ordered by Date. (3) Remove instance 4 and higher. (4) Determine manuvactuer using fifelse(like(vx_manufacturer, ""pfizer"", ignore.case = T ),""PFIZER"",""OTHER""). (5) Concatenate instance and manufactuer. (6) Transpose with the concatenated result as new column names"
PERSONS1;SECOND_PFIZER;CoV.Date, CoV.vx_manufacturer;"(1) Clean covid vaccins with function CleanOutcomes with an allowed gap of 14 days. (2) Add a sequence number by person_id ordered by Date. (3) Remove instance 4 and higher. (4) Determine manuvactuer using fifelse(like(vx_manufacturer, ""pfizer"", ignore.case = T ),""PFIZER"",""OTHER""). (5) Concatenate instance and manufactuer. (6) Transpose with the concatenated result as new column names"
PERSONS1;THIRD_OTHER;CoV.Date, CoV.vx_manufacturer;"(1) Clean covid vaccins with function CleanOutcomes with an allowed gap of 14 days. (2) Add a sequence number by person_id ordered by Date. (3) Remove instance 4 and higher. (4) Determine manuvactuer using fifelse(like(vx_manufacturer, ""pfizer"", ignore.case = T ),""PFIZER"",""OTHER""). (5) Concatenate instance and manufactuer. (6) Transpose with the concatenated result as new column names"
