drug_abbreviation,product_identifier,code,product_name,tags,label,drug_event_subconcept
DP_ACE,ATC,C09A,Angiotensin converting enzyme inhibitors,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,ATC,C09B,"Angiotensin converting enzyme inhibitors, combinations",narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,210541000033113,Captopril Tablets 1 mg,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,210741000033117,Captopril Tablets 2 mg,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,213441000033119,Captopril 12.5mg tablets,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,214441000033117,Captopril 25mg tablets,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,214541000033116,Captopril 50mg tablets,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,2656341000033110,Captopril 5mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,2719841000033113,Captopril 20mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,3012741000033115,Captopril 25mg/5ml oral solution,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,3333941000033117,Captopril 8mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,3851341000033117,Captopril 3mg/5ml oral solution,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,3940841000033110,Captopril 2mg capsules,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,5008141000033111,Captopril 10mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,5132041000033112,Captopril 25mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,5401641000033118,Captopril 15mg/5ml oral suspension,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,5454041000033117,Captopril 4mg capsules,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
DP_ACE,PRODCODEID,5595341000033117,Captopril Oral Suspension Sugar Free 2 mg/ml,narrow,DP_proxy,Angiotensin converting enzyme inhibitors
