NEW_CONCEPT;CONCEPT;WEIGHT
V_CDC_COV ;V_CAPLEAKS_AESI;1
V_CDC_COV ;V_CHILBLAIN_AESI;1
V_CDC_COV ;V_DVT_AESI;1
V_CDC_COV ;V_MICROANGIO_AESI;1
V_CDC_COV ;V_THROMBOSISARTERIAL_AESI;1
V_CDC_COV ;V_VASCULITISSINGLEORG_AESI;1
V_CDC_COV ;V_VTE_AESI;1
V_CDC_COV ;V_HYPERTENSION_COV;1
V_CDC_COV ;V_PERIPHVD_COV;1
V_CDC_COV ;V_VASCULITISANY_COV;1
L_CHARLSON_COV;C_AMI_AESI;1
L_CHARLSON_COV;C_HF_AESI;1
L_CHARLSON_COV;V_PERIPHVD_COV;1
L_CHARLSON_COV;N_CEREBROVASCULAR_AESI;1
L_CHARLSON_COV;N_DEMFRAIL_COV;1
L_CHARLSON_COV;R_RESPCHRONIC_COV;1
L_CHARLSON_COV;M_RHEUMATICDISEASE_CH;1
L_CHARLSON_COV;D_PEPTICULCER_COV;1
L_CHARLSON_COV;D_MILDLIVERDISEASE_CH;1
L_CHARLSON_COV;G_MILDTOMODERATERENALDISEASE_CH;1
L_CHARLSON_COV;E_DIABETESNOCOMPLICATIONS_CH;1
L_CHARLSON_COV;E_DMCOMPL_COV;2
L_CHARLSON_COV;G_SEVERERENALDISEASE_CH;2
L_CHARLSON_COV;N_HEMIPLEGCHARLSON_COV;2
L_CHARLSON_COV;Onc_MALIGNANTTUMOR_CH;3
L_CHARLSON_COV;D_MODERATESEVERELIVERDISEASE_CH;3
L_CHARLSON_COV;Onc_METASTATICSOLIDTUMOR_CH;6
L_CHARLSON_COV;I_HIVAIDS_COV;6
I_COVID_COV;TP_COVID19POSITIVE_COV;
I_COVID_COV;I_COVID19DX_COV;
I_COVID19VAED_AESI;TP_COVID19POSITIVE_COV;
I_COVID19VAED_AESI;I_COVID19DX_COV;
L_BMICALC_COV;L_BMI_COV;
L_BMICALC_COV;L_WEIGHT_COV;
L_BMICALC_COV;L_HEIGHT_COV;
B_SICKLECELLALGORITHM_COV;B_SICKLECELL_COV;
B_SICKLECELLALGORITHM_COV;DP_COVSICKLE;
C_CARDIOCEREBROVASCULARDESE_COV;C_MYOCARD_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;C_MYOPERICARD_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;C_PERICARD_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;C_CARDIOMYOPATHY_COV;
C_CARDIOCEREBROVASCULARDESE_COV;C_AMI_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;C_ANGINA_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;C_HF_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;N_STROKEHEMO_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;N_STROKEISCH_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;N_TIA_AESI;
C_CARDIOCEREBROVASCULARDESE_COV;V_ANEURYSMVASCMALF_COV;
C_CARDIOCEREBROVASCULARDESE_COV;DP_COVCARDIOCEREBROVAS;
C_CARDIOMYOPATHYALL_COV;C_MYOCARD_AESI;
C_CARDIOMYOPATHYALL_COV;C_PERICARD_AESI;
C_CARDIOMYOPATHYALL_COV;C_CMSTRESS_AESI;
C_CARDIOMYOPATHYALL_COV;C_CARDIOMYOPATHY_COV;
C_CVD_COV;C_AMI_AESI;
C_CVD_COV;C_ANGINA_AESI;
C_CVD_COV;C_ARRH_AESI;
C_CVD_COV;C_HF_AESI;
C_CVD_COV;C_MYOCARD_AESI;
C_CVD_COV;C_MYOPERICARD_AESI;
C_CVD_COV;C_PERICARD_AESI;
C_CVD_COV;C_VHD_COV;
C_CVD_COV;N_STROKEHEMO_AESI;
C_CVD_COV;N_STROKEISCH_AESI;
C_CVD_COV;V_CAPLEAKS_AESI;
C_CVD_COV;V_DVT_AESI;
C_CVD_COV;V_HYPERTENSION_COV;
C_CVD_COV;V_MICROANGIO_AESI;
C_CVD_COV;V_PERIPHVD_COV;
C_CVD_COV;V_THROMBOSISARTERIAL_AESI;
C_CVD_COV;V_VASCULITISANY_COV;
C_CVD_COV;V_VTE_AESI;
C_CVD_COV;R_PE_AESI;
C_CVD_COV;N_TIA_AESI;
C_CVD_COV;DP_COVCARDIOCEREBROVAS;
D_LIVERCHRONIC_COV;D_HEPATITISAUTOIMMUNE_COV;
D_LIVERCHRONIC_COV;D_LIVERCHRONICALONE_COV;
D_LIVERCHRONIC_COV;D_NONALCOHOLICLIVER_COV;
D_LIVERCHRONIC_COV;D_ALCOHOLICLIVER_COV;
D_LIVERCHRONIC_COV;D_LIVERCIRRHOSIS_COV;
E_DM12ALGORITHM_COV;E_DM12_COV;
E_DM12ALGORITHM_COV;DP_COVDIAB;
I_HIV_COV;I_AIDS_CH;
I_HIV_COV;DP_COVHIV;
I_RESPINFECALGORITHM_COV;I_INFLUENZA_COV;
I_RESPINFECALGORITHM_COV;I_RESPINFEC_COV;
Im_ALLERGY_COV;Im_ANAPHYLAXIS_AESI;
Im_ALLERGY_COV;Im_HYPERSENS_AESI;
Im_ALLERGY_COV;DP_EPINEPHRINE;
Im_ANAPHYLAXIS_COV;Im_ANAPHYLAXIS_AESI;
Im_ANAPHYLAXIS_COV;DP_EPINEPHRINE;
Im_AUTOIMM_COV;M_ARTRHEU_COV;
Im_AUTOIMM_COV;E_THYROIDAUTOIMM_AESI;
Im_AUTOIMM_COV;V_VASCULITISANY_COV;
Im_AUTOIMM_COV;E_GOUT_COV;
Im_AUTOIMM_COV;E_DM1_AESI;
Im_AUTOIMM_COV;N_DEMYELMS_AESI;
Im_AUTOIMM_COV;Im_SLE_COV;
Im_AUTOIMM_COV;M_ARTPSORIATIC_COV;
Im_AUTOIMM_COV;Sk_PSORIASIS_COV;
Im_AUTOIMM_COV;D_IBD_COV;
Im_AUTOIMM_COV;M_ARTSPONDYL_COV;
Im_AUTOIMM_COV;Im_SJOGRENS_COV;
Im_AUTOIMM_COV;M_RPM_COV;
Im_IMMUNODEFIMMUNOSUP_COV;Im_IMMUNODEF_COV;
Im_IMMUNODEFIMMUNOSUP_COV;Onc_HAEMAT_COV;
Im_IMMUNODEFIMMUNOSUP_COV;Im_TRANSPLANTRECIPIENT_COV;
Im_IMMUNODEFIMMUNOSUP_COV;M_ARTRHEU_COV;
Im_IMMUNODEFIMMUNOSUP_COV;E_THYROIDAUTOIMM_AESI;
Im_IMMUNODEFIMMUNOSUP_COV;V_VASCULITISANY_COV;
Im_IMMUNODEFIMMUNOSUP_COV;E_GOUT_COV;
Im_IMMUNODEFIMMUNOSUP_COV;E_DM1_AESI;
Im_IMMUNODEFIMMUNOSUP_COV;N_DEMYELMS_AESI;
Im_IMMUNODEFIMMUNOSUP_COV;Im_SLE_COV;
Im_IMMUNODEFIMMUNOSUP_COV;M_ARTPSORIATIC_COV;
Im_IMMUNODEFIMMUNOSUP_COV;Sk_PSORIASIS_COV;
Im_IMMUNODEFIMMUNOSUP_COV;D_IBD_COV;
Im_IMMUNODEFIMMUNOSUP_COV;M_ARTSPONDYL_COV;
Im_IMMUNODEFIMMUNOSUP_COV;Im_SJOGRENS_COV;
Im_IMMUNODEFIMMUNOSUP_COV;DP_IMMUNOSUPPR;
Im_IMMUNODEFIMMUNOSUP_COV;DP_COVHIV;
Im_IMMUNODEFIMMUNOSUP_COV;DP_CORTICOST;
IM_IMC_COV;I_AIDS_CH;
IM_IMC_COV;DP_COVHIV;
IM_IMC_COV;Im_IMMUNODEF_COV;
IM_IMC_COV;Onc_HAEMAT_COV;
IM_IMC_COV;Im_TRANSPLANTRECIPIENT_COV;
IM_IMC_COV;M_ARTRHEU_COV;
IM_IMC_COV;E_THYROIDAUTOIMM_AESI;
IM_IMC_COV;V_VASCULITISANY_COV;
IM_IMC_COV;E_GOUT_COV;
IM_IMC_COV;E_DM1_AESI;
IM_IMC_COV;N_DEMYELMS_AESI;
IM_IMC_COV;Im_SLE_COV;
IM_IMC_COV;M_ARTPSORIATIC_COV;
IM_IMC_COV;Sk_PSORIASIS_COV;
IM_IMC_COV;D_IBD_COV;
IM_IMC_COV;M_ARTSPONDYL_COV;
IM_IMC_COV;Im_SJOGRENS_COV;
IM_IMC_COV;DP_IMMUNOSUPPR;
IM_IMC_COV;DP_CORTICOST;
IM_IMC_COV;M_RPM_COV;
Ment_MENTHEALTHDISEASE_COV;N_DEMENTIA_COV;
Ment_MENTHEALTHDISEASE_COV;Ment_DEPRESSION_COV;
Ment_MENTHEALTHDISEASE_COV;Ment_SCHIZOPHRENIA_COV;
Ment_MENTHEALTHDISEASE_COV;DP_COVMENTHEALTH;
N_NEURODISCHRONIC_COV;N_PARKINSON_COV;
N_NEURODISCHRONIC_COV;N_DEMYELMS_AESI;
N_NEURODISCHRONIC_COV;N_STROKEISCH_AESI;
N_NEURODISCHRONIC_COV;N_STROKEHEMO_AESI;
N_NEURODISCHRONIC_COV;N_TIA_AESI;
N_NEURODISCHRONIC_COV;N_DEMFRAIL_COV;
N_NEURODISCHRONIC_COV;N_NEURONMOTORDISEASE_COV;
N_NEURODISCHRONIC_COV;O_DOWN_COV;
N_NEURODISCHRONIC_COV;O_LEARNDISAB_COV;
N_NEURODISCHRONIC_COV;O_CEREBRALPALSY_COV;
N_NEURODISCHRONIC_COV;N_HEMIPLEGCHARLSON_COV;
N_NEURODISCHRONIC_COV;N_CONVULGEN_AESI;
O_MORBSUNSTAB_COV;R_RESPCHRONIC_COV;
O_MORBSUNSTAB_COV;E_DM12_COV;
O_MORBSUNSTAB_COV;C_CVD_COV;
O_MORBSUNSTAB_COV;N_PARKINSON_COV;
O_MORBSUNSTAB_COV;N_DEMYELMS_AESI;
O_MORBSUNSTAB_COV;N_STROKEISCH_AESI;
O_MORBSUNSTAB_COV;N_STROKEHEMO_AESI;
O_MORBSUNSTAB_COV;N_TIA_AESI;
O_MORBSUNSTAB_COV;N_DEMFRAIL_COV;
O_MORBSUNSTAB_COV;N_NEURONMOTORDISEASE_COV;
O_MORBSUNSTAB_COV;O_DOWN_COV;
O_MORBSUNSTAB_COV;O_LEARNDISAB_COV;
O_MORBSUNSTAB_COV;O_CEREBRALPALSY_COV;
O_MORBSUNSTAB_COV;N_HEMIPLEGCHARLSON_COV;
O_MORBSUNSTAB_COV;N_CONVULGEN_AESI;
Onc_ANYMALIGNALGOPFIZER_COV;Onc_ANYMALIGNANCY_COV;
Onc_ANYMALIGNALGOPFIZER_COV;DP_COVCANCER;
Onc_ANYMALIGNALGOPFIZER_COV;DP_IMMUNOSTIMUL;
Onc_ANYMALIGNALGOPFIZER_COV;DP_IMMUNOSUPRESANTS;
Onc_ANYMALIGNALGOPFIZER_COV;DP_CORTICOST;
Onc_ANYMALIGNALGOPFIZER_COV;TP_CANCERSCREEN_COV;
P_MAJORCA_AESI;P_CA_URI_AESI;
P_MAJORCA_AESI;P_CA_OTH_AESI;
P_MAJORCA_AESI;P_CA_ORO_AESI;
P_MAJORCA_AESI;P_CA_LIMB_AESI;
P_MAJORCA_AESI;P_CA_GENI_AESI;
P_MAJORCA_AESI;P_CA_EFN_AESI;
P_MAJORCA_AESI;P_CA_DIG_AESI;
P_MAJORCA_AESI;P_CA_CHROM_AESI;
P_MAJORCA_AESI;P_CA_ABD_AESI;
P_MAJORCA_AESI;P_CA_RESP_AESI;
P_MAJORCA_AESI;P_CA_NERV_AESI;
P_MAJORCA_AESI;P_CA_EYE_AESI;
P_MAJORCA_AESI;P_CA_CH_AESI;
P_TOPFA_AESI;P_ELECTTERM_AESI;
P_TOPFA_AESI;P_MAJORCA_AESI;
R_ASTHMAEXACERBATIONALGOR_AESI;R_ASTHMAEXACERBATION_AESI;
R_ASTHMAEXACERBATIONALGOR_AESI;DP_ASTHMAEXACERB;
R_RESPCHRONICALGORITHM_COV;R_RESPCHRONIC_COV;
R_RESPCHRONICALGORITHM_COV;DP_COVRESPCHRONIC;
V_VTEALGORITHM_AESI;V_VTE_AESI;
V_VTEALGORITHM_AESI;B01AB;
R_RESPCHRONIC_COV;DP_COVRESPCHRONIC;
Im_IMMUNCOMPR_COV;Im_TRANSPLANTRECIPIENT_COV;
Im_IMMUNCOMPR_COV;Onc_HAEMAT_COV;
Im_IMMUNCOMPR_COV;I_HIVNOAIDS_CH;
Im_IMMUNCOMPR_COV;I_AIDS_CH;
Im_IMMUNCOMPR_COV;Im_IMMUNODEFWITHOUTHIV_COV;
Im_IMMUNCOMPR_COV;DP_COVCANCER;
Im_IMMUNCOMPR_COV;DP_IMMUNOSUPPR;
Im_IMMUNCOMPR_COV;DP_IMMUNOSTIMUL;
L_OBESITYALGORITHM_COV;L_OBESITY_COV;
L_OBESITYALGORITHM_COV;DP_COVOBESITY;
C_ACI_AESI;V_MICROANGIO_AESI;
C_ACI_AESI;C_CMSTRESS_AESI;
C_ACI_AESI;C_HF_AESI;
C_ACI_AESI;C_CAD_AESI;
C_ACI_AESI;V_VTE_AESI;
C_ACI_AESI;C_SHOCKCARD_AESI;
H_HOSPPOP_POP;H_HOSPNUM_COV;
H_HOSPPOP_POP;H_EMERG_COV;
H_HOSPPOP_POP;H_NURSING_COV;
H_HOSPPOP_POP;H_PRIMARYHCUSE_COV;
H_HOSPPOP_POP;TP_CANCERSCREEN_COV;
H_HOSPPOP_POP;H_PREVENTIVE_COV;
H_HOSPPOP_POP;TP_COVID19TEST_COV;
