NEW_CONCEPT;CONCEPT;WEIGHT
L_CHARLSON_COV;C_AMI_AESI;1
L_CHARLSON_COV;C_HF_AESI;1
L_CHARLSON_COV;V_PERIPHVD_COV;1
L_CHARLSON_COV;N_CEREBROVASC_AESI;1
L_CHARLSON_COV;M_RHEUMATICDISEASE_CH;1
L_CHARLSON_COV;D_PEPTICULCER_COV;1
L_CHARLSON_COV;D_MILDLIVERDISEASE_CH;1
L_CHARLSON_COV;G_MILDTOMODERATERENALDISEASE_CH;1
L_CHARLSON_COV;E_DIABETESNOCOMPLICATIONS_CH;1
L_CHARLSON_COV;E_DMCOMPL_COV;2
L_CHARLSON_COV;G_SEVERERENALDISEASE_CH;2
L_CHARLSON_COV;N_HEMIPLEGCHARLSON_COV;2
L_CHARLSON_COV;Onc_MALIGNANTTUMOR_CH;3
L_CHARLSON_COV;D_MODERATESEVERELIVERDISEASE_CH;3
L_CHARLSON_COV;Onc_METASTATICSOLIDTUMOR_CH;6
I_COVID_COV;TP_COVID19POSITIVE_COV;
I_COVID_COV;I_COVID19DX_COV;
I_COVID19VAED_AESI;TP_COVID19POSITIVE_COV;
I_COVID19VAED_AESI;I_COVID19DX_COV;
L_BMICALC_COV;L_BMI_COV;
L_BMICALC_COV;L_WEIGHT_COV;
L_BMICALC_COV;L_HEIGHT_COV;
B_SICKLECELLALGORITHM_COV;B_SICKLECELL_COV;
B_SICKLECELLALGORITHM_COV;DP_COVSICKLE;
C_CARDIOMYOPATHYALL_COV;C_MYOCARD_AESI;
C_CARDIOMYOPATHYALL_COV;C_PERICARD_AESI;
C_CARDIOMYOPATHYALL_COV;C_CMSTRESS_AESI;
C_CARDIOMYOPATHYALL_COV;C_CARDIOMYOPATHY_COV;
C_CVD_COV;C_AMI_AESI;
C_CVD_COV;C_ANGINA_AESI;
C_CVD_COV;C_ARRH_AESI;
C_CVD_COV;C_HF_AESI;
C_CVD_COV;C_MYOCARD_AESI;
C_CVD_COV;C_MYOPERICARD_AESI;
C_CVD_COV;C_PERICARD_AESI;
C_CVD_COV;C_VHD_COV;
C_CVD_COV;N_STROKEHEMO_AESI;
C_CVD_COV;N_STROKEISCH_AESI;
C_CVD_COV;V_CAPLEAKS_AESI;
C_CVD_COV;V_DVT_AESI;
C_CVD_COV;V_HYPERTENSION_COV;
C_CVD_COV;V_MICROANGIO_AESI;
C_CVD_COV;V_PERIPHVD_COV;
C_CVD_COV;V_THROMBOSISARTERIAL_AESI;
C_CVD_COV;V_VASCULITISANY_COV;
C_CVD_COV;V_VTE_AESI;
C_CVD_COV;R_PE_AESI;
C_CVD_COV;N_TIA_AESI;
C_CVD_COV;DP_COVCARDIOCEREBROVAS;
D_LIVERCHRONIC_COV;D_HEPATITISAUTOIMMUNE_COV;
D_LIVERCHRONIC_COV;D_LIVERCHRONICALONE_COV;
D_LIVERCHRONIC_COV;D_NONALCOHOLICLIVER_COV;
D_LIVERCHRONIC_COV;D_ALCOHOLICLIVER_COV;
D_LIVERCHRONIC_COV;D_LIVERCIRRHOSIS_COV;
E_DM12ALGORITHM_COV;E_DM12_COV;
E_DM12ALGORITHM_COV;DP_COVDIAB;
I_HIV_COV;I_AIDS_CH;
