var;type;Empty
NA;NA;
NA;NA;
AGE_T0;NUM;
NA;NA;
NA;NA;
band;CAT;
NA;NA;1
NA;NA;2
NA;NA;3
NA;NA;4
NA;NA;5
NA;NA;6
NA;NA;7
NA;NA;8
NA;NA;9
NA;NA;10
NA;NA;11
NA;NA;12
NA;NA;13
L_SEX_COV;CAT;
L_PREGNSTATUS_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
L_LCF_COV_T0;CAT;
quarter_year_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
L_SMOKESTATUSALG_COV;CAT;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
L_BMICALC_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
H_HOSPNUM_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
H_EMERG_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
H_NURSING_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
H_PRIMARYHCUSE_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
TP_CANCERSCREEN_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
H_PREVENTIVE_COV_T0;CAT;
TP_COVID19TEST_COV_T0;CAT;
NA;NA;
NA;NA;
NA;NA;
NA;NA;
