NEW_CONCEPT;CONCEPT;WEIGHT
Im_FRAILCOMORB_COV;C_AMI_AESI;
Im_FRAILCOMORB_COV;C_HF_AESI;
Im_FRAILCOMORB_COV;N_CEREBROVASC_AESI;
Im_FRAILCOMORB_COV;B_COAGDEF_COV;
Im_FRAILCOMORB_COV;B_SICKLECELL_COV;
Im_FRAILCOMORB_COV;B_SICKLECELLALGORITHM_COV;
Im_FRAILCOMORB_COV;C_CVD_COV;
Im_FRAILCOMORB_COV;D_LIVERCHRONIC_COV;
Im_FRAILCOMORB_COV;E_DM12ALGORITHM_COV;
Im_FRAILCOMORB_COV;E_DMCOMPL_COV;
Im_FRAILCOMORB_COV;E_LIPID_COV;
Im_FRAILCOMORB_COV;G_BLADINCONT_COV;
Im_FRAILCOMORB_COV;G_KDCHRONIC_COV;
Im_FRAILCOMORB_COV;H_AMBULANCE_COV;
Im_FRAILCOMORB_COV;H_HOMEBED_COV;
Im_FRAILCOMORB_COV;H_OXYHOM_COV;
Im_FRAILCOMORB_COV;H_REHAB_COV;
Im_FRAILCOMORB_COV;H_WHEELCHAIR_COV;
Im_FRAILCOMORB_COV;I_AIDS_COV;
Im_FRAILCOMORB_COV;I_SEPSIS_COV;
Im_FRAILCOMORB_COV;I_HIV_COV;
Im_FRAILCOMORB_COV;I_RESPINFECALGORITHM_COV;
Im_FRAILCOMORB_COV;Im_ANAPHYLAXIS_AESI;
Im_FRAILCOMORB_COV;Im_ALLERGIES_COV;
Im_FRAILCOMORB_COV;Im_AUTOIMM_COV;
Im_FRAILCOMORB_COV;Im_IMMUNODEF_COV;
Im_FRAILCOMORB_COV;Im_IMMCOMPMATCHPFIZER_COV;
Im_FRAILCOMORB_COV;L_CHARLSON_COV;
Im_FRAILCOMORB_COV;L_WALK_COV;
Im_FRAILCOMORB_COV;L_WEAK_COV;
Im_FRAILCOMORB_COV;L_OBESITYALGORITHM_COV;
Im_FRAILCOMORB_COV;M_ARTHR_COV;
Im_FRAILCOMORB_COV;M_RHEUMATICDISEASE_COV;
Im_FRAILCOMORB_COV;Ment_MENTHEALTHDISEASE_COV;
Im_FRAILCOMORB_COV;N_DEMENTIA_COV;
Im_FRAILCOMORB_COV;N_HEMIPLEGCHARLSON_COV;
Im_FRAILCOMORB_COV;N_VERTIG_COV;
Im_FRAILCOMORB_COV;O_DOWN_COV;
Im_FRAILCOMORB_COV;Onc_ANYMALIGNALGOPFIZER_COV;
Im_FRAILCOMORB_COV;R_RESPCHRONICALGORITHM_COV;
Im_FRAILCOMORB_COV;Sk_ULCERFRAIL_COV;
Im_FRAILCOMORB_COV;TP_CANCERSCREEN_COV;
Im_FRAILCOMORB_COV;V_HYPERTENSION_COV;
Im_FRAILCOMORB_COV;V_PERIPHVD_COV;
Im_FRAILCOMORB_COV;DP_COVCANCER;
Im_FRAILCOMORB_COV;DP_CORTICOST;
Im_FRAILCOMORB_COV;DP_CANCERHORMONE;
Im_FRAILCOMORB_COV;DP_IMMUNOSTIMUL;
Im_FRAILCOMORB_COV;DP_IMMUNOSUPPR;
Im_FRAILCOMORB_COV;D_MILDLIVERDISEASE_COV;
Im_FRAILCOMORB_COV;G_MILDMODERATERENALDISEASE_COV;
Im_FRAILCOMORB_COV;D_MODERATESEVERLIVERDISEASE_COV;
Im_FRAILCOMORB_COV;G_SEVERERENALDISEASE_COV;
Im_FRAILCOMORB_COV;Onc_METASTATICSOLIDTUMOR_COV;
Im_FRAILCOMORB_COV;Onc_LEUKEMIA_COV;
Im_FRAILCOMORB_COV;Onc_TUMOR_COV;
Im_FRAILCOMORB_COV;Onc_MALIGNANTTUMOR_COV ;
Im_FRAILCOMORB_COV;Onc_LYMPHOMA_COV;
Im_FRAILCOMORB_COV;Onc_METASTASIS_COV;
Im_IMMCOMPMATCHPFIZER_COV;C_HF_AESI;
Im_IMMCOMPMATCHPFIZER_COV;B_COAGDEF_COV;
Im_IMMCOMPMATCHPFIZER_COV;E_DMCOMPL_COV;
Im_IMMCOMPMATCHPFIZER_COV;E_LIPID_COV;
Im_IMMCOMPMATCHPFIZER_COV;G_BLADINCONT_COV;
Im_IMMCOMPMATCHPFIZER_COV;H_AMBULANCE_COV;
Im_IMMCOMPMATCHPFIZER_COV;H_HOMEBED_COV;
Im_IMMCOMPMATCHPFIZER_COV;H_OXYHOM_COV;
Im_IMMCOMPMATCHPFIZER_COV;H_REHAB_COV;
Im_IMMCOMPMATCHPFIZER_COV;H_WHEELCHAIR_COV;
Im_IMMCOMPMATCHPFIZER_COV;I_SEPSIS_COV;
Im_IMMCOMPMATCHPFIZER_COV;L_WALK_COV;
Im_IMMCOMPMATCHPFIZER_COV;L_WEAK_COV;
Im_IMMCOMPMATCHPFIZER_COV;M_ARTHR_COV;
Im_IMMCOMPMATCHPFIZER_COV;Ment_MENTHEALTHDISEASE_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_DEMENTIA_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_HEMIPLEGCHARLSON_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_PARALYSIS_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_PARKINSON_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_STROKE_COV;
Im_IMMCOMPMATCHPFIZER_COV;N_VERTIG_COV;
Im_IMMCOMPMATCHPFIZER_COV;Sk_ULCERFRAIL_COV;
Im_IMMCOMPMATCHPFIZER_COV;TP_PODIATRIC_COV;
