tableName;tableNumber;tableNameExtension;ndaps;nby_vars;nheaderrows;tableorder;tableextensionorder;orient;tabletitle;tabletitle_new;
Table1 ;1;possible;ALL;1;1;1;1;portrait;Table 1. Attrition table for the Pfizer-BioNTech vaccinated cohort (before matching), <datasource>;Table 5. Attrition table for the Pfizer-BioNTech COVID-19 vaccinated cohort (before matching) by data source;
Table2;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Table 6. Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source;
Table2_00-01;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.1: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (00-01);
Table2_02-04;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.2: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (02-04);
Table2_05-11;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.3: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (05-11);
Table2_12-15;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.4: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (12-15);
Table2_16-17;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.5: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (16-17);
Table2_18-29;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.6: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (18-29);
Table2_30-39;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.7: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (30-39);
Table2_40-49;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.8: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (40-49);
